,Text,Topic,Cluster
201,Refund taxes. The company can take the opportunity to defer taxes on its previous clients while providing tax-deferred treatment for future clients.,refund taxes,17.0
202,"Use a tax shelter. This one is controversial, but could be effective as some of its clients do not have taxes to pay and the business benefits its tax shelter while its main revenue is from its client base as well.",use a tax shelter,17.0
203,"Get tax advice. If the company has accumulated a large tax bill the last few months, the advice of an accountant would be a good move.",get tax advice,17.0
204,"Change its tax policies. The company should consider altering its tax policies, perhaps changing from having profits tax deductions, to sales tax deductions, to take advantage of a new sales tax regime in Malaysia, which encourages consumers to buy goods.",change its tax policies,17.0
205,"Stop paying tax dues. The company could temporarily stop paying capital gains tax. The tax would be reduced, which will result in a lower tax bill.",stop paying tax dues,17.0
206,Seek a tax benefit. There’s a lot to be said for using the tax code wisely. The company would be better off applying for a small business loan that reduces business tax rate and not a bigger loan that could give them a tax benefit.,seek a tax benefit,17.0
207,"Seek an angel investor. An angel investor can be a great help. If the amount of capital borrowed is not too much, his contributions might pay for your payroll, marketing operations, rent, etc.",seek an angel investor,18.0
208,"Seek alternative funding. The company management should seek alternate funding from various sources. If the business is not making the grade any longer, it’s better to sell outright the business to an investor rather than ask them for loans.",seek alternative funding,18.0
209,"Invest in capital assets. The company could invest in some additional machines, or increase the volume of some products in its supply chain.",invest in capital assets,18.0
210,"Consider taking an IPO. If a company needs to reduce costs and stay afloat, going public and taking on debt is an option which would provide liquidity and protect the company from bankruptcy.",consider taking an ipo,18.0
211,"Seek strategic partners. A partner might come in and offer to buy up its debt, assuming the company is not too big.",seek strategic partners,18.0
212,"Invest in new projects. New projects could have their own set of risks. However, they are very cost effective too. So, they may be an excellent way to grow the business.",invest in new projects,18.0
213,Create a reserve fund. The company would create a reserve fund to pay suppliers and take care of emergencies. Once this fund is replenished it will be used to pay its ongoing bills and it will then be available for projects. This would help in reducing costs.,create a reserve fund,18.0
214,Improve working capital. Cut interest payments on current accounts.,improve working capital,18.0
215,Consider raising capital. The most efficient way to cut costs is to raise new capital. This may include:,consider raising capital,18.0
216,"Seek external finance. A company could consider a business loan from an experienced finance firm, particularly if it needs to operate for a longer time period.",seek external finance,18.0
217,"Invest for the future. After analyzing investment and development plans for the near future, one should invest for the future as far as possible because any company without a strong source of income is likely to cease to exist when that line of credit runs out.The present invention relates to an automatic transmission using an electronic control apparatus which controls a plurality of planetary gear mechanisms to provide a plurality of speed-change stages as well as a hydraulic automatic transmission using the same apparatus.",invest for the future,18.0
218,Improve product quality. Another reason to cut non-essential business expenses could be to improve product quality.,improve product quality,19.0
219,"Move upmarket. If the cost of the first two options are too high the company could consider moving upmarket, where it can sell its products and services more effectively and at a higher price point. This option could be especially useful if the company is in a weak position because of poor customer relations.",move upmarket,19.0
220,Sell products. After cutting marketing costs it may make sense for the company to reduce the product lines it manufactures and focus these on areas where the customers’ need is not strong but which provide an opportunity to increase the company’s income.,sell products,19.0
221,"Change your products. If a product doesn't work as well as you thought, switch to a better product.",change your products,19.0
222,"Create another product. This is a common technique among small businesses to avoid paying taxes year end. However, some companies use this technique to try and avoid paying capital gains taxes on items.",create another product,19.0
223,Retire senior executives. The company may need to do a series of ‘cost reduction’ programs.,retire senior executives,20.0
224,Take some time off. Employees may lose an easy-filled holiday as the company may need to go back to its regular operation.,take some time off,20.0
225,"Retire the CEO. If he or she doesn't perform as expected, let the company management decide who will replace them.",retire the ceo,20.0
226,Retire older workers. The company already has too many staff- too many employees and too many machines and the current workers no longer have all the skills it currently needs.,retire older workers,20.0
227,"Go cash strapped. It is best not to attempt to find out if a cash crisis is imminent. Many companies are in cash strapped mode which only further reduces their credit risks. They need other options, or to go cash strapped even if there are problems and a cash crisis becomes imminent.",go cash strapped,21.0
228,Close the gap. The company will continue to make sales and expand its product offerings - so there is not as big a gap that can be covered by additional workers.,close the gap,21.0
229,Reduce stock prices. This is a more long run strategy but it requires the management to stay disciplined and ensure it does all it can to keep the stock price attractive in the long run.,reduce stock prices,21.0
230,"Consider downsizing. If the company is already running out of cash, it is better to reduce its workforce.",consider downsizing,21.0
231,"Increase dividend yields. Dividends might not be the deciding factor of a company’s success or failure. However, they are a very good form of a ‘soft cost’ which can be used to support the company by increasing both its cash inflow and free capital. On the other hand, the extra capital available with a higher dividend rate can be used to improve the company’s overall efficiency, and can be reinvested in the business in the long term.",increase dividend yields,21.0
232,"Recycling money. By selling off unwanted or unneeded equipment, materials and goods, the company could save some of its cash, thus avoiding having to take a large hit in salary expenses.",recycling money,21.0
233,"Take a distribution cut. This can be a one on one sales cut or a group distribution cut across product lines. Whichever way, the company could minimize the losses from the loss of key customers and keep the company afloat.",take a distribution cut,21.0
234,Stop using cash reserves. The company needs to cut its cash reserves to make it more self-sufficient. The company has a strong balance sheet and could use other means to secure cash to meet this situation.,stop using cash reserves,21.0
235,Create a savings goal. The company can use the savings to pay the bills in advance. The funds can then be used to repay the mortgage.,create a savings goal,21.0
236,"Improve cash flow. With a good cash flow, the company could consider taking some of the additional funds to pay back the loan earlier. Once the funding is in place, the company could consider paying itself some of the loans it has taken out in the past.",improve cash flow,21.0
237,"Sell land. Using the land and buildings as collateral, the company could sell the land to a bank in exchange for a cash advance.",sell land,22.0
238,"Buy a property. Depending upon the amount of business coming in, the company may consider acquiring additional land and building another facility to rent. Either way, the company would have to hire a professional to take care of such an endeavor.",buy a property,22.0
239,"Buy its own server. If you are struggling with inflexibility and lack of resources, using more of them will increase efficiency and allow your business to grow as an alternative to outsourcing it.",buy its own server,23.0
240,"Sell equipment. The company may sell a wide variety of inventory, which it can either buy or sell immediately. This could prove to be a good economic move for the company.",sell equipment,23.0
241,Eliminate old equipment. The company needs to get rid of old products and equipment. It should eliminate all the obsolete computer and software systems and invest in software development platforms.,eliminate old equipment,23.0
242,"Retire equipment. For a company in good financial shape, keep equipment, which is unessential, to free up cash in long term.",retire equipment,23.0
243,Buy a factory. The company could use the money to purchase a business to keep its operations going; a factory would allow the company to run regular manufacturing operations and use all the new equipment to maintain a strong brand identity.,buy a factory,23.0
244,"Find a cheap supplier. To cut costs, businesses should consider finding better quality raw materials and/or better quality products at a low price.",find a cheap supplier,23.0
245,Buy new computers. The company can buy more computers and laptops to cut down on overhead and also save on space as the current laptops are occupying valuable floor space and the laptop department cannot be eliminated without significant loss in productivity.,buy new computers,23.0
246,"Use of new equipment. If the company is in a need to enhance its service and efficiency, it can use new or updated equipment and tools.",use of new equipment,23.0
247,Lay off part time staff. You could send the part time employees home with full wages and benefits for a period of time while you hire new full time staff.,lay off part time staff,24.0
248,Layoff the CEO. This has been done in some companies but a CEO’s retirement is no longer taken lightly especially when it involves a company that is struggling to survive.,layoff the ceo,24.0
249,"Transfer employees. If the company has the resources (people, money, and technology) to acquire an external company for the purpose of outsourcing, this would help the company to reduce its cost as a result.",transfer employees,24.0
250,"Make a voluntary layoff. Lay off all employees without being forced to do so. This is an optional procedure, as the company can later request for re-employment of affected employees.",make a voluntary layoff,24.0
251,"Lay off office workers. This may be an expensive option if the position has low wages, but in the long run it may be cheaper than cutting existing employees.",lay off office workers,24.0
252,"Layoff managers. With the company’s core team still intact, and management able to keep control over the company’s direction, management may consider laying off part of its management team, and reducing the size of the office below the level of 10 employees.",layoff managers,24.0
